Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
C=C(CC(=O)c1ccccc1)C(=O)O,C[C@@H](CC(=O)c1ccccc1)C(=O)O,nofit,0.9686420368,1,nofit,0.04887187228,0,nofit,0.03027802583,0,nofit,0.3045851759,0,nofit,0.9539856641,1,nofit,0.9539855539,1,nofit,0.9539854473,1,nofit,0.9539856641,1,nofit,0.9539856641,1,nofit,0.9539856641,1,nofit,0.9539856641,1,nofit,0.9539856641,1,nofit,0.9539856641,1
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,nofit,0.1037622171,0,nofit,0.1037622171,0,nofit,0.1390862688,0,nofit,0.1037622171,0,nofit,0.5430965917,1,nofit,0.6281741726,1,nofit,0.6647259761,1,nofit,0.4904498707,0,nofit,0.5677881874,1,nofit,0.5888440947,1,nofit,0.6854244768,1,nofit,0.9737191419,1,nofit,0.578171488,1
CCOC(=O)/C=C(/B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,nofit,0.3545691943,0,0.500339396,0.2878417926,0,nofit,0.2205836206,0,nofit,0.4948322854,0,nofit,0.4062368867,0,nofit,0.9343990696,1,nofit,0.8781940334,1,nofit,0.4403948805,0,nofit,0.8781940334,1,nofit,0.8781940334,1,nofit,0.4403948805,0,nofit,0.8781940334,1,nofit,0.9343990696,1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,nofit,0.8479412565,1,nofit,0.3507932752,0,nofit,0.3507932752,0,nofit,0.8479412565,1,nofit,0.8479412565,1,nofit,0.3507936934,0,nofit,0.8479417745,1,nofit,0.9969364373,1,nofit,0.9862202519,1,nofit,0.8479412565,1,nofit,0.9862202519,1,nofit,0.9862202519,1,nofit,0.9957538709,1
O=C1OCCC/C1=C\c1ccccc1,O=C1OCCC[C@@H]1Cc1ccccc1,nofit,0.5431858137,1,nofit,0.5431858137,1,nofit,0.5407434711,1,nofit,0.5568586096,1,nofit,0.6900574996,1,nofit,0.540742053,1,nofit,0.6900574996,1,nofit,0.6900574996,1,nofit,0.6900574996,1,nofit,0.8267107978,1,nofit,0.6900574996,1,nofit,0.6900574996,1,nofit,0.8911588081,1
CCOC(=O)C1=C(NC(C)=O)CCC1,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,0.9998916869,0.7817570065,1,0.9999995182,0.9760512182,1,0.9999807175,0.4064312958,0,0.9934126787,0.9731071874,1,0.9934126787,0.9731071874,1,0.9925274634,0.8836806114,1,0.9934126787,0.9731071874,1,0.9999999978,0.9731071874,1,0.9999999978,0.9731071874,1,0.9999966701,0.9717183244,1,0.9999999978,0.9712251722,1,0.9999999978,0.9731071874,1,0.9999999356,0.9731071874,1
C=C(NC(C)=O)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12,0.85,0.875869802,1,0.8364915381,0.008637033416,0,0.8343857753,0.875869802,1,0.85,0.875869802,1,0.85,0.875869802,1,0.85,0.8758696193,1,0.85,0.8758694366,1,0.8304318567,0.9583975021,1,0.8304318567,0.875869802,1,0.8342833633,0.875869802,1,0.8395685378,0.875869802,1,0.8304318567,0.9134938084,1,0.8304318567,0.9583975021,1
C=C(c1ccc(C)cc1)c1ccccn1,Cc1ccc([C@H](C)c2ccccn2)cc1,nofit,0.8201888786,1,nofit,0.6989875912,1,nofit,0.8364225494,1,nofit,0.5696397281,1,nofit,0.8448217535,1,nofit,0.8448214891,1,nofit,0.8448220053,1,nofit,0.8448217535,1,nofit,0.8448217535,1,nofit,0.8448217535,1,nofit,0.8448217535,1,nofit,0.8448217535,1,nofit,0.8448217535,1
COC(=O)/C=C(\C#N)CC(C)C,COC(=O)C[C@@H](C#N)CC(C)C,not found,0.2958276555,0,not found,0.5385547021,1,not found,0.9586729625,1,not found,0.2932777351,0,not found,0.2583035247,0,not found,0.9375020443,1,not found,0.1584318746,0,not found,0.2932777351,0,not found,0.1584313646,0,not found,0.4533927138,0,not found,0.2932777351,0,not found,0.2932777351,0,not found,0.540144149,1
O=S1(=O)CCCC=C(c2ccccc2)C1,O=S1(=O)CCCC[C@H](c2ccccc2)C1,nofit,0.1719355649,0,nofit,0.1719355649,0,nofit,0.3972141344,0,nofit,0.0990796235,0,nofit,0.9427474897,1,nofit,0.9427474897,1,nofit,0.9427471736,1,nofit,0.2554350823,0,nofit,0.9427474897,1,nofit,0.9427474897,1,nofit,0.9427474897,1,nofit,0.9427474897,1,nofit,0.9427474897,1
