Reactant,product,ee,nbo_charge,bond_energy,Vbur,L,B1,B5
COC(=O)/C(=C/CCCCCl)NC(C)=O,COC(=O)[C@@H](CCCCCCl)NC(C)=O,1,1.530035,-0.471975,0.6396058517,6.503487815,2.939213083,9.048513328
COC(=O)/C(=C/c1cccc(Cl)c1)NC(C)=O,COC(=O)[C@H](Cc1cccc(Cl)c1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,1,1.88068,-0.49753,0.7406937197,7.169607533,2.437308047,8.022301545
C=C(CC)c1ccccc1,CC[C@H](C)c1ccccc1,1,1.65721,-0.50635,0.6688699683,10.86502455,5.053182523,11.84375342
COC(=O)/C(=C/c1ccc(OC)cc1)NC(=O)c1ccccc1,COC(=O)[C@@H](Cc1ccc(OC)cc1)NC(=O)c1ccccc1,1,1.852705,-0.515385,0.6795273481,7.612394894,2.698485779,10.79966821
CCOC(=O)/C=C(\c1ccc(C)cc1)P(=O)(OCC)OCC,CCOC(=O)/C=C(/c1ccc(C)cc1)P(=O)(OCC)OCC,1,1.69298,-0.5145,0.6905807398,8.36477452,2.634392033,7.862790535
C=C(CC(=O)O)C(=O)O,C[C@@H](CC(=O)O)C(=O)O,1,1.510945,-0.455725,0.7006033358,8.812376231,3.943481796,10.38776821
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,1,1.53045,-0.473995,0.6326756429,8.311166874,3.452442628,6.364577208
COC(=O)/C(=C/c1ccc(OC)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(OC)cc1)NC(C)=O,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
Cc1cccc(/C=C(\OCc2ccccc2)C(=O)O)c1,Cc1cccc(C[C@H](OCc2ccccc2)C(=O)O)c1,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
COC(=O)/C(=C/c1ccccc1OC)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1Cl)NC(C)=O,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
C=C(C(=O)O)c1ccccc1F,C[C@H](C(=O)O)c1ccccc1F,1,1.620815,-0.535215,0.8663576221,13.666264,5.019695584,8.919674754
COC(=O)/C(=C/c1ccccc1OC)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1OC)NC(C)=O,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
COC(=O)/C(=C/c1ccccc1Cl)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1Cl)NC(C)=O,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
C=C(NC(C)=O)c1ccc(F)cc1,CC(=O)N[C@@H](C)c1ccc(F)cc1,1,1.777765,-0.50577,0.7899273202,11.64569407,4.188768222,8.699255529
CO/C(=C\c1ccc(OC)cc1)C(=O)O,COc1ccc(C[C@H](OC)C(=O)O)cc1,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
CC/C(=C\C(=O)OC)NC(C)=O,CC[C@@H](CC(=O)OC)NC(C)=O,1,1.79633,-0.52915,0.9649121785,13.21226676,2.71331064,9.606764456
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,1,1.87712,-0.54044,0.8031995434,9.254577139,2.867233524,10.47960928
COCOc1cc(/C=C(/C(=O)O)C(C)C)ccc1OC,COCOc1cc(C[C@@H](C(=O)O)C(C)C)ccc1OC,1,None,None,None,12.66006628,3.412362898,9.352890793
COC(=O)/C(=C/CCN1C(=O)c2ccccc2C1=O)NC(C)=O,COC(=O)[C@@H](CCCN1C(=O)c2ccccc2C1=O)NC(C)=O,1,1.530035,-0.471975,0.6396058517,6.503487815,2.939213083,9.048513328
